Zeit;Zeitzone;50Hertz;Amprion;TenneT TSO;TransnetBW
2024-01-01 00:00;CET;668,210;N.E.;5014,650;N.E.
2024-01-01 01:00;CET;404,390;N.E.;4940,530;N.E.
2024-01-01 02:00;CET;359,070;N.E.;4829,200;N.E.
2024-01-01 03:00;CET;307,420;N.E.;4366,050;N.E.
2024-01-01 04:00;CET;328,390;N.E.;4110,150;N.E.
2024-01-01 05:00;CET;344,250;N.E.;4329,700;N.E.
2024-01-01 06:00;CET;394,580;N.E.;4010,280;N.E.
2024-01-01 07:00;CET;329,210;N.E.;3647,300;N.E.
2024-01-01 08:00;CET;164,250;N.E.;3694,780;N.E.
2024-01-01 09:00;CET;123,370;N.E.;3111,350;N.E.
2024-01-01 10:00;CET;131,190;N.E.;3337,430;N.E.
2024-01-01 11:00;CET;118,010;N.E.;3453,430;N.E.
2024-01-01 12:00;CET;112,580;N.E.;3183,530;N.E.
2024-01-01 13:00;CET;93,140;N.E.;3186,150;N.E.
2024-01-01 14:00;CET;81,940;N.E.;3220,250;N.E.
2024-01-01 15:00;CET;107,870;N.E.;3701,450;N.E.
2024-01-01 16:00;CET;112,510;N.E.;4117,300;N.E.
2024-01-01 17:00;CET;136,320;N.E.;4311,050;N.E.
2024-01-01 18:00;CET;84,460;N.E.;4403,280;N.E.
2024-01-01 19:00;CET;60,520;N.E.;4526,980;N.E.
2024-01-01 20:00;CET;83,680;N.E.;4554,900;N.E.
2024-01-01 21:00;CET;187,820;N.E.;4467,050;N.E.
2024-01-01 22:00;CET;240,550;N.E.;4319,880;N.E.
2024-01-01 23:00;CET;262,540;N.E.;3461,100;N.E.
2024-01-02 00:00;CET;230,120;N.E.;3390,630;N.E.
2024-01-02 01:00;CET;272,850;N.E.;3493,750;N.E.
2024-01-02 02:00;CET;267,570;N.E.;3428,250;N.E.
2024-01-02 03:00;CET;235,640;N.E.;3780,950;N.E.
2024-01-02 04:00;CET;164,610;N.E.;4610,950;N.E.
2024-01-02 05:00;CET;131,660;N.E.;4964,430;N.E.
2024-01-02 06:00;CET;64,690;N.E.;5113,800;N.E.
2024-01-02 07:00;CET;69,040;N.E.;5121,930;N.E.
2024-01-02 08:00;CET;43,640;N.E.;5131,450;N.E.
2024-01-02 09:00;CET;59,420;N.E.;5128,180;N.E.
2024-01-02 10:00;CET;156,240;N.E.;5031,750;N.E.
2024-01-02 11:00;CET;268,760;N.E.;4089,650;N.E.
2024-01-02 12:00;CET;389,700;N.E.;3416,400;N.E.
2024-01-02 13:00;CET;622,580;N.E.;2748,150;N.E.
2024-01-02 14:00;CET;967,310;N.E.;2333,400;N.E.
2024-01-02 15:00;CET;1197,220;N.E.;2057,300;N.E.
2024-01-02 16:00;CET;1240,550;N.E.;2490,780;N.E.
2024-01-02 17:00;CET;1266,690;N.E.;3790,350;N.E.
2024-01-02 18:00;CET;1271,820;N.E.;4759,850;N.E.
2024-01-02 19:00;CET;1276,630;N.E.;5125,350;N.E.
2024-01-02 20:00;CET;1270,130;N.E.;5164,200;N.E.
2024-01-02 21:00;CET;1264,270;N.E.;5110,080;N.E.
2024-01-02 22:00;CET;1263,720;N.E.;4792,300;N.E.
2024-01-02 23:00;CET;1263,750;N.E.;4397,080;N.E.
2024-01-03 00:00;CET;1265,100;N.E.;3848,380;N.E.
2024-01-03 01:00;CET;1269,050;N.E.;3385,700;N.E.
2024-01-03 02:00;CET;1267,130;N.E.;3306,650;N.E.
2024-01-03 03:00;CET;1256,020;N.E.;3224,980;N.E.
2024-01-03 04:00;CET;1255,620;N.E.;3366,100;N.E.
2024-01-03 05:00;CET;1241,100;N.E.;3716,980;N.E.
2024-01-03 06:00;CET;1266,070;N.E.;3902,150;N.E.
2024-01-03 07:00;CET;1269,660;N.E.;3856,480;N.E.
2024-01-03 08:00;CET;1258,150;N.E.;3892,150;N.E.
2024-01-03 09:00;CET;1262,790;N.E.;4010,600;N.E.
2024-01-03 10:00;CET;1254,150;N.E.;4000,430;N.E.
2024-01-03 11:00;CET;1243,990;N.E.;4066,200;N.E.
2024-01-03 12:00;CET;1230,940;N.E.;3865,200;N.E.
2024-01-03 13:00;CET;1202,520;N.E.;3351,850;N.E.
2024-01-03 14:00;CET;1179,760;N.E.;3134,250;N.E.
2024-01-03 15:00;CET;930,200;N.E.;2847,330;N.E.
2024-01-03 16:00;CET;925,140;N.E.;2636,550;N.E.
2024-01-03 17:00;CET;1168,970;N.E.;2477,600;N.E.
2024-01-03 18:00;CET;1192,510;N.E.;2162,930;N.E.
2024-01-03 19:00;CET;1206,930;N.E.;2047,380;N.E.
2024-01-03 20:00;CET;1222,690;N.E.;2020,600;N.E.
2024-01-03 21:00;CET;1227,820;N.E.;2176,450;N.E.
2024-01-03 22:00;CET;1218,040;N.E.;2310,500;N.E.
2024-01-03 23:00;CET;1215,990;N.E.;2665,230;N.E.
2024-01-04 00:00;CET;1217,410;N.E.;2879,450;N.E.
2024-01-04 01:00;CET;1220,040;N.E.;2944,150;N.E.
2024-01-04 02:00;CET;1219,030;N.E.;2966,130;N.E.
2024-01-04 03:00;CET;1215,650;N.E.;2832,230;N.E.
2024-01-04 04:00;CET;1212,600;N.E.;2734,150;N.E.
2024-01-04 05:00;CET;1256,010;N.E.;2588,930;N.E.
2024-01-04 06:00;CET;1257,760;N.E.;2390,450;N.E.
2024-01-04 07:00;CET;1259,370;N.E.;2125,100;N.E.
2024-01-04 08:00;CET;1258,720;N.E.;1949,200;N.E.
2024-01-04 09:00;CET;1261,140;N.E.;1623,200;N.E.
2024-01-04 10:00;CET;1257,880;N.E.;1231,200;N.E.
2024-01-04 11:00;CET;1263,630;N.E.;818,580;N.E.
2024-01-04 12:00;CET;1244,220;N.E.;580,400;N.E.
2024-01-04 13:00;CET;1250,070;N.E.;473,050;N.E.
2024-01-04 14:00;CET;1228,090;N.E.;432,650;N.E.
2024-01-04 15:00;CET;1137,110;N.E.;574,400;N.E.
2024-01-04 16:00;CET;1047,270;N.E.;677,550;N.E.
2024-01-04 17:00;CET;840,300;N.E.;785,330;N.E.
2024-01-04 18:00;CET;688,750;N.E.;824,930;N.E.
2024-01-04 19:00;CET;678,600;N.E.;1154,380;N.E.
2024-01-04 20:00;CET;410,800;N.E.;1721,950;N.E.
2024-01-04 21:00;CET;231,470;N.E.;2340,400;N.E.
2024-01-04 22:00;CET;210,550;N.E.;3051,080;N.E.
2024-01-04 23:00;CET;151,610;N.E.;3387,200;N.E.
2024-01-05 00:00;CET;90,060;N.E.;3971,480;N.E.
2024-01-05 01:00;CET;24,720;N.E.;4671,150;N.E.
2024-01-05 02:00;CET;10,540;N.E.;4933,300;N.E.
2024-01-05 03:00;CET;21,190;N.E.;5044,030;N.E.
2024-01-05 04:00;CET;17,810;N.E.;5077,930;N.E.
2024-01-05 05:00;CET;23,480;N.E.;5089,830;N.E.
2024-01-05 06:00;CET;58,460;N.E.;5096,200;N.E.
2024-01-05 07:00;CET;74,490;N.E.;5110,350;N.E.
2024-01-05 08:00;CET;137,500;N.E.;5114,680;N.E.
2024-01-05 09:00;CET;173,780;N.E.;5105,500;N.E.
2024-01-05 10:00;CET;209,130;N.E.;5107,600;N.E.
2024-01-05 11:00;CET;260,430;N.E.;5098,830;N.E.
2024-01-05 12:00;CET;306,520;N.E.;5091,800;N.E.
2024-01-05 13:00;CET;384,950;N.E.;5093,200;N.E.
2024-01-05 14:00;CET;517,540;N.E.;5086,850;N.E.
2024-01-05 15:00;CET;690,020;N.E.;5081,550;N.E.
2024-01-05 16:00;CET;769,030;N.E.;5075,530;N.E.
2024-01-05 17:00;CET;900,180;N.E.;5060,030;N.E.
2024-01-05 18:00;CET;1021,070;N.E.;5063,700;N.E.
2024-01-05 19:00;CET;1155,720;N.E.;5050,080;N.E.
2024-01-05 20:00;CET;1208,120;N.E.;5019,130;N.E.
2024-01-05 21:00;CET;1225,620;N.E.;5000,430;N.E.
2024-01-05 22:00;CET;1233,990;N.E.;4983,400;N.E.
2024-01-05 23:00;CET;1249,620;N.E.;4912,630;N.E.
2024-01-06 00:00;CET;1241,110;N.E.;4946,630;N.E.
2024-01-06 01:00;CET;1250,310;N.E.;4874,500;N.E.
2024-01-06 02:00;CET;1227,850;N.E.;4710,430;N.E.
2024-01-06 03:00;CET;1195,410;N.E.;4526,530;N.E.
2024-01-06 04:00;CET;1229,720;N.E.;4534,280;N.E.
2024-01-06 05:00;CET;1234,450;N.E.;4552,780;N.E.
2024-01-06 06:00;CET;1247,610;N.E.;4558,730;N.E.
2024-01-06 07:00;CET;1230,590;N.E.;4596,530;N.E.
2024-01-06 08:00;CET;1175,410;N.E.;4631,950;N.E.
2024-01-06 09:00;CET;1176,540;N.E.;4573,150;N.E.
2024-01-06 10:00;CET;1168,330;N.E.;4605,350;N.E.
2024-01-06 11:00;CET;1122,210;N.E.;4568,850;N.E.
2024-01-06 12:00;CET;1075,450;N.E.;4570,730;N.E.
2024-01-06 13:00;CET;1045,760;N.E.;4580,580;N.E.
2024-01-06 14:00;CET;1026,180;N.E.;4674,630;N.E.
2024-01-06 15:00;CET;1091,450;N.E.;4728,250;N.E.
