valid_time,wind_speed,number,expver,hour,month
2024-01-01 00:00:00,10.982187,0,0001,0,1
2024-01-01 01:00:00,10.417537,0,0001,1,1
2024-01-01 02:00:00,10.251302,0,0001,2,1
2024-01-01 03:00:00,10.582304,0,0001,3,1
2024-01-01 04:00:00,10.894723,0,0001,4,1
2024-01-01 05:00:00,11.07466,0,0001,5,1
2024-01-01 06:00:00,10.7199955,0,0001,6,1
2024-01-01 07:00:00,10.70592,0,0001,7,1
2024-01-01 08:00:00,10.965915,0,0001,8,1
2024-01-01 09:00:00,10.366129,0,0001,9,1
2024-01-01 10:00:00,10.473578,0,0001,10,1
2024-01-01 11:00:00,10.880133,0,0001,11,1
2024-01-01 12:00:00,10.709686,0,0001,12,1
2024-01-01 13:00:00,10.990266,0,0001,13,1
2024-01-01 14:00:00,10.996009,0,0001,14,1
2024-01-01 15:00:00,10.765181,0,0001,15,1
2024-01-01 16:00:00,10.570689,0,0001,16,1
2024-01-01 17:00:00,10.577926,0,0001,17,1
2024-01-01 18:00:00,10.707896,0,0001,18,1
2024-01-01 19:00:00,10.916071,0,0001,19,1
2024-01-01 20:00:00,10.968659,0,0001,20,1
2024-01-01 21:00:00,10.967246,0,0001,21,1
2024-01-01 22:00:00,10.014363,0,0001,22,1
2024-01-01 23:00:00,9.676752,0,0001,23,1
2024-01-02 00:00:00,9.184358,0,0001,0,1
2024-01-02 01:00:00,8.649173,0,0001,1,1
2024-01-02 02:00:00,8.100081,0,0001,2,1
2024-01-02 03:00:00,8.693512,0,0001,3,1
2024-01-02 04:00:00,9.30627,0,0001,4,1
2024-01-02 05:00:00,10.055243,0,0001,5,1
2024-01-02 06:00:00,10.735261,0,0001,6,1
2024-01-02 07:00:00,11.246345,0,0001,7,1
2024-01-02 08:00:00,11.481916,0,0001,8,1
2024-01-02 09:00:00,11.749111,0,0001,9,1
2024-01-02 10:00:00,11.975661,0,0001,10,1
2024-01-02 11:00:00,11.7128315,0,0001,11,1
2024-01-02 12:00:00,11.995017,0,0001,12,1
2024-01-02 13:00:00,11.812838,0,0001,13,1
2024-01-02 14:00:00,11.610898,0,0001,14,1
2024-01-02 15:00:00,11.24705,0,0001,15,1
2024-01-02 16:00:00,11.329504,0,0001,16,1
2024-01-02 17:00:00,11.556957,0,0001,17,1
2024-01-02 18:00:00,12.147543,0,0001,18,1
2024-01-02 19:00:00,12.870463,0,0001,19,1
2024-01-02 20:00:00,13.430122,0,0001,20,1
2024-01-02 21:00:00,14.2611475,0,0001,21,1
2024-01-02 22:00:00,14.5941725,0,0001,22,1
2024-01-02 23:00:00,13.959299,0,0001,23,1
2024-01-03 00:00:00,12.62057,0,0001,0,1
2024-01-03 01:00:00,10.175766,0,0001,1,1
2024-01-03 02:00:00,9.986561,0,0001,2,1
2024-01-03 03:00:00,10.485583,0,0001,3,1
2024-01-03 04:00:00,10.248297,0,0001,4,1
2024-01-03 05:00:00,8.59888,0,0001,5,1
2024-01-03 06:00:00,9.000543,0,0001,6,1
2024-01-03 07:00:00,10.501371,0,0001,7,1
2024-01-03 08:00:00,11.925922,0,0001,8,1
2024-01-03 09:00:00,12.395923,0,0001,9,1
2024-01-03 10:00:00,15.266823,0,0001,10,1
2024-01-03 11:00:00,14.285171,0,0001,11,1
2024-01-03 12:00:00,13.758111,0,0001,12,1
2024-01-03 13:00:00,13.025772,0,0001,13,1
2024-01-03 14:00:00,11.820781,0,0001,14,1
2024-01-03 15:00:00,10.713554,0,0001,15,1
2024-01-03 16:00:00,9.827202,0,0001,16,1
2024-01-03 17:00:00,8.98525,0,0001,17,1
2024-01-03 18:00:00,8.541021,0,0001,18,1
2024-01-03 19:00:00,8.226633,0,0001,19,1
2024-01-03 20:00:00,7.591587,0,0001,20,1
2024-01-03 21:00:00,6.770599,0,0001,21,1
2024-01-03 22:00:00,6.1099515,0,0001,22,1
2024-01-03 23:00:00,6.0303884,0,0001,23,1
2024-01-04 00:00:00,6.6406565,0,0001,0,1
2024-01-04 01:00:00,8.937793,0,0001,1,1
2024-01-04 02:00:00,10.160553,0,0001,2,1
2024-01-04 03:00:00,10.627372,0,0001,3,1
2024-01-04 04:00:00,10.949688,0,0001,4,1
2024-01-04 05:00:00,11.066195,0,0001,5,1
2024-01-04 06:00:00,10.496277,0,0001,6,1
2024-01-04 07:00:00,9.706204,0,0001,7,1
2024-01-04 08:00:00,8.604127,0,0001,8,1
2024-01-04 09:00:00,7.31404,0,0001,9,1
2024-01-04 10:00:00,6.4689054,0,0001,10,1
2024-01-04 11:00:00,5.4316773,0,0001,11,1
2024-01-04 12:00:00,5.0173917,0,0001,12,1
2024-01-04 13:00:00,4.877919,0,0001,13,1
2024-01-04 14:00:00,4.627715,0,0001,14,1
2024-01-04 15:00:00,4.316553,0,0001,15,1
2024-01-04 16:00:00,4.3147407,0,0001,16,1
2024-01-04 17:00:00,4.7992206,0,0001,17,1
2024-01-04 18:00:00,5.18403,0,0001,18,1
2024-01-04 19:00:00,5.3751435,0,0001,19,1
2024-01-04 20:00:00,5.97424,0,0001,20,1
2024-01-04 21:00:00,6.624114,0,0001,21,1
2024-01-04 22:00:00,6.8192086,0,0001,22,1
2024-01-04 23:00:00,7.3103237,0,0001,23,1
2024-01-05 00:00:00,7.985463,0,0001,0,1
2024-01-05 01:00:00,8.475931,0,0001,1,1
2024-01-05 02:00:00,9.038982,0,0001,2,1
2024-01-05 03:00:00,9.730721,0,0001,3,1
2024-01-05 04:00:00,10.384732,0,0001,4,1
2024-01-05 05:00:00,10.994215,0,0001,5,1
2024-01-05 06:00:00,11.0917015,0,0001,6,1
2024-01-05 07:00:00,11.832228,0,0001,7,1
2024-01-05 08:00:00,12.6586,0,0001,8,1
2024-01-05 09:00:00,12.753689,0,0001,9,1
2024-01-05 10:00:00,12.5251465,0,0001,10,1
2024-01-05 11:00:00,13.435923,0,0001,11,1
2024-01-05 12:00:00,13.416966,0,0001,12,1
2024-01-05 13:00:00,12.446962,0,0001,13,1
2024-01-05 14:00:00,12.751098,0,0001,14,1
2024-01-05 15:00:00,12.550636,0,0001,15,1
2024-01-05 16:00:00,12.563814,0,0001,16,1
2024-01-05 17:00:00,12.607682,0,0001,17,1
2024-01-05 18:00:00,12.815919,0,0001,18,1
2024-01-05 19:00:00,13.036578,0,0001,19,1
2024-01-05 20:00:00,12.862185,0,0001,20,1
2024-01-05 21:00:00,12.434257,0,0001,21,1
2024-01-05 22:00:00,11.725807,0,0001,22,1
2024-01-05 23:00:00,11.488967,0,0001,23,1
2024-01-06 00:00:00,11.426533,0,0001,0,1
2024-01-06 01:00:00,11.319677,0,0001,1,1
2024-01-06 02:00:00,11.038412,0,0001,2,1
2024-01-06 03:00:00,10.905767,0,0001,3,1
2024-01-06 04:00:00,10.976477,0,0001,4,1
2024-01-06 05:00:00,10.926421,0,0001,5,1
2024-01-06 06:00:00,11.018256,0,0001,6,1
2024-01-06 07:00:00,10.97733,0,0001,7,1
2024-01-06 08:00:00,10.952735,0,0001,8,1
2024-01-06 09:00:00,10.548047,0,0001,9,1
2024-01-06 10:00:00,9.572181,0,0001,10,1
2024-01-06 11:00:00,9.193741,0,0001,11,1
2024-01-06 12:00:00,9.569165,0,0001,12,1
2024-01-06 13:00:00,9.832275,0,0001,13,1
2024-01-06 14:00:00,10.296277,0,0001,14,1
2024-01-06 15:00:00,10.860255,0,0001,15,1
2024-01-06 16:00:00,10.763982,0,0001,16,1
2024-01-06 17:00:00,10.4864025,0,0001,17,1
2024-01-06 18:00:00,10.170725,0,0001,18,1
2024-01-06 19:00:00,9.876988,0,0001,19,1
2024-01-06 20:00:00,9.642869,0,0001,20,1
2024-01-06 21:00:00,9.525622,0,0001,21,1
2024-01-06 22:00:00,9.891583,0,0001,22,1
2024-01-06 23:00:00,9.514097,0,0001,23,1
2024-01-07 00:00:00,9.462105,0,0001,0,1
2024-01-07 01:00:00,9.358831,0,0001,1,1
2024-01-07 02:00:00,9.22612,0,0001,2,1
2024-01-07 03:00:00,8.678161,0,0001,3,1
2024-01-07 04:00:00,8.042546,0,0001,4,1
2024-01-07 05:00:00,7.804187,0,0001,5,1
2024-01-07 06:00:00,7.598658,0,0001,6,1
2024-01-07 07:00:00,7.300295,0,0001,7,1
2024-01-07 08:00:00,7.0625477,0,0001,8,1
2024-01-07 09:00:00,6.777015,0,0001,9,1
2024-01-07 10:00:00,6.1982894,0,0001,10,1
2024-01-07 11:00:00,6.167575,0,0001,11,1
2024-01-07 12:00:00,5.9793344,0,0001,12,1
2024-01-07 13:00:00,6.278364,0,0001,13,1
2024-01-07 14:00:00,6.693595,0,0001,14,1
2024-01-07 15:00:00,7.1260605,0,0001,15,1
2024-01-07 16:00:00,7.4495935,0,0001,16,1
2024-01-07 17:00:00,7.9058447,0,0001,17,1
2024-01-07 18:00:00,8.183459,0,0001,18,1
2024-01-07 19:00:00,8.221112,0,0001,19,1
2024-01-07 20:00:00,8.0816,0,0001,20,1
2024-01-07 21:00:00,8.256077,0,0001,21,1
2024-01-07 22:00:00,8.50382,0,0001,22,1
2024-01-07 23:00:00,8.571158,0,0001,23,1
2024-01-08 00:00:00,8.982947,0,0001,0,1
2024-01-08 01:00:00,9.357473,0,0001,1,1
2024-01-08 02:00:00,9.1195545,0,0001,2,1
2024-01-08 03:00:00,9.019708,0,0001,3,1
2024-01-08 04:00:00,8.998719,0,0001,4,1
2024-01-08 05:00:00,9.29949,0,0001,5,1
2024-01-08 06:00:00,9.399335,0,0001,6,1
2024-01-08 07:00:00,9.720052,0,0001,7,1
2024-01-08 08:00:00,9.919563,0,0001,8,1
2024-01-08 09:00:00,9.73749,0,0001,9,1
2024-01-08 10:00:00,8.481735,0,0001,10,1
2024-01-08 11:00:00,8.333104,0,0001,11,1
2024-01-08 12:00:00,8.4267025,0,0001,12,1
2024-01-08 13:00:00,8.530522,0,0001,13,1
2024-01-08 14:00:00,8.13208,0,0001,14,1
2024-01-08 15:00:00,8.21291,0,0001,15,1
2024-01-08 16:00:00,8.532595,0,0001,16,1
2024-01-08 17:00:00,8.676363,0,0001,17,1
2024-01-08 18:00:00,8.540917,0,0001,18,1
2024-01-08 19:00:00,8.126784,0,0001,19,1
2024-01-08 20:00:00,7.6638217,0,0001,20,1
2024-01-08 21:00:00,7.2231684,0,0001,21,1
2024-01-08 22:00:00,6.110425,0,0001,22,1
2024-01-08 23:00:00,6.2872906,0,0001,23,1
2024-01-09 00:00:00,6.2096066,0,0001,0,1
2024-01-09 01:00:00,6.0168533,0,0001,1,1
2024-01-09 02:00:00,5.8698034,0,0001,2,1
2024-01-09 03:00:00,5.286829,0,0001,3,1
2024-01-09 04:00:00,4.566991,0,0001,4,1
2024-01-09 05:00:00,3.99907,0,0001,5,1
2024-01-09 06:00:00,3.639202,0,0001,6,1
2024-01-09 07:00:00,3.7443175,0,0001,7,1
2024-01-09 08:00:00,3.5847943,0,0001,8,1
2024-01-09 09:00:00,2.7267172,0,0001,9,1
2024-01-09 10:00:00,2.03136,0,0001,10,1
2024-01-09 11:00:00,1.3088747,0,0001,11,1
2024-01-09 12:00:00,0.8907186,0,0001,12,1
2024-01-09 13:00:00,0.7377744,0,0001,13,1
2024-01-09 14:00:00,0.48447666,0,0001,14,1
2024-01-09 15:00:00,0.6371278,0,0001,15,1
2024-01-09 16:00:00,0.6050678,0,0001,16,1
2024-01-09 17:00:00,1.036664,0,0001,17,1
