Date (GMT+1),Power (MW),Price_EUR/MW
2024-01-01T00:00+01:00,41792.653,0.1
2024-01-01T01:00+01:00,41338.71683,0.01
2024-01-01T02:00+01:00,41260.45842,0
2024-01-01T03:00+01:00,40207.89967,-0.01
2024-01-01T04:00+01:00,39922.68584,-0.03
2024-01-01T05:00+01:00,40281.6972,-0.02
2024-01-01T06:00+01:00,39899.61901,-0.05
2024-01-01T07:00+01:00,40194.42238,-0.02
2024-01-01T08:00+01:00,41362.10067,0
2024-01-01T09:00+01:00,43531.66616,0.04
2024-01-01T10:00+01:00,46639.78909,0.06
2024-01-01T11:00+01:00,48460.01871,0.54
2024-01-01T12:00+01:00,47856.25463,2.24
2024-01-01T13:00+01:00,45728.73406,1.96
2024-01-01T14:00+01:00,42450.4726,1.04
2024-01-01T15:00+01:00,39313.23661,3.66
2024-01-01T16:00+01:00,38560.28647,43.06
2024-01-01T17:00+01:00,39559.06949,49.93
2024-01-01T18:00+01:00,38761.9133,58
2024-01-01T19:00+01:00,38159.37158,54.25
2024-01-01T20:00+01:00,37140.5839,48.01
2024-01-01T21:00+01:00,35910.50923,42.95
2024-01-01T22:00+01:00,34343.66756,47.09
2024-01-01T23:00+01:00,32310.98962,35.55
2024-01-02T00:00+01:00,31061.08031,30.59
2024-01-02T01:00+01:00,30260.67032,20.07
2024-01-02T02:00+01:00,30112.27337,31.03
2024-01-02T03:00+01:00,31486.7981,18.39
2024-01-02T04:00+01:00,33929.31203,11.08
2024-01-02T05:00+01:00,36771.68555,13.78
2024-01-02T06:00+01:00,39903.30503,47.63
2024-01-02T07:00+01:00,41783.36716,58.1
2024-01-02T08:00+01:00,42949.31634,65.67
2024-01-02T09:00+01:00,43505.74359,64.73
2024-01-02T10:00+01:00,43979.7826,68.98
2024-01-02T11:00+01:00,42387.92058,73.54
2024-01-02T12:00+01:00,41436.21366,78.16
2024-01-02T13:00+01:00,39900.21834,78.87
2024-01-02T14:00+01:00,38364.40855,79.24
2024-01-02T15:00+01:00,37891.77737,79.96
2024-01-02T16:00+01:00,39710.04118,83.46
2024-01-02T17:00+01:00,43052.0366,80.92
2024-01-02T18:00+01:00,45678.12128,74.95
2024-01-02T19:00+01:00,48044.78883,63.18
2024-01-02T20:00+01:00,49234.08446,57.11
2024-01-02T21:00+01:00,50210.36498,46.89
2024-01-02T22:00+01:00,49755.3953,40
2024-01-02T23:00+01:00,49741.12864,7.43
2024-01-03T00:00+01:00,47064.24629,-0.08
2024-01-03T01:00+01:00,46419.73184,-1.23
2024-01-03T02:00+01:00,46706.21896,-1.3
2024-01-03T03:00+01:00,46682.1324,-1.31
2024-01-03T04:00+01:00,47528.17056,-1.31
2024-01-03T05:00+01:00,48361.94362,-1.38
2024-01-03T06:00+01:00,53348.79941,1.09
2024-01-03T07:00+01:00,54707.31267,40.59
2024-01-03T08:00+01:00,54604.98406,59.61
2024-01-03T09:00+01:00,55753.42942,60.61
2024-01-03T10:00+01:00,58506.22694,57
2024-01-03T11:00+01:00,60028.32123,54.89
2024-01-03T12:00+01:00,59812.88693,53.89
2024-01-03T13:00+01:00,58307.41276,54.42
2024-01-03T14:00+01:00,55336.25189,60.86
2024-01-03T15:00+01:00,50933.22398,67.18
2024-01-03T16:00+01:00,47833.49244,73.59
2024-01-03T17:00+01:00,45957.24904,82.28
2024-01-03T18:00+01:00,44528.50613,82.97
2024-01-03T19:00+01:00,43145.65888,79.03
2024-01-03T20:00+01:00,42029.30276,73.23
