Date (GMT+1),DE (TenneT) Load decrease (current-induced)
,Energy (MWh)
2024-02-01T00:00+01:00,-930.75
2024-02-01T00:15+01:00,-847.75
2024-02-01T00:30+01:00,-816.25
2024-02-01T00:45+01:00,-808.75
2024-02-01T01:00+01:00,-683.75
2024-02-01T01:15+01:00,-650
2024-02-01T01:30+01:00,-587.5
2024-02-01T01:45+01:00,-570
2024-02-01T02:00+01:00,-492.5
2024-02-01T02:15+01:00,-480
2024-02-01T02:30+01:00,-442.5
2024-02-01T02:45+01:00,-417.5
2024-02-01T03:00+01:00,-388
2024-02-01T03:15+01:00,-388
2024-02-01T03:30+01:00,-388
2024-02-01T03:45+01:00,-388
2024-02-01T04:00+01:00,-330.75
2024-02-01T04:15+01:00,-335.75
2024-02-01T04:30+01:00,-384.5
2024-02-01T04:45+01:00,-401.25
2024-02-01T05:00+01:00,-293.75
2024-02-01T05:15+01:00,-328.25
2024-02-01T05:30+01:00,-400
2024-02-01T05:45+01:00,-438.75
2024-02-01T06:00+01:00,-523.75
2024-02-01T06:15+01:00,-523.75
2024-02-01T06:30+01:00,-598.75
2024-02-01T06:45+01:00,-619
2024-02-01T07:00+01:00,-560.75
2024-02-01T07:15+01:00,-560.75
2024-02-01T07:30+01:00,-560.75
2024-02-01T07:45+01:00,-560.75
2024-02-01T08:00+01:00,-561.25
2024-02-01T08:15+01:00,-561.25
2024-02-01T08:30+01:00,-561.25
2024-02-01T08:45+01:00,-613.75
2024-02-01T09:00+01:00,-806.75
2024-02-01T09:15+01:00,-806.75
2024-02-01T09:30+01:00,-806.75
2024-02-01T09:45+01:00,-814.25
2024-02-01T10:00+01:00,-907.25
2024-02-01T10:15+01:00,-907.25
2024-02-01T10:30+01:00,-1112.16725
2024-02-01T10:45+01:00,-1193.89725
2024-02-01T11:00+01:00,-1072.78
2024-02-01T11:15+01:00,-1076.01925
2024-02-01T11:30+01:00,-1183.52725
2024-02-01T11:45+01:00,-1219.35025
2024-02-01T12:00+01:00,-1181.0225
2024-02-01T12:15+01:00,-1267.67225
2024-02-01T12:30+01:00,-1279.1905
2024-02-01T12:45+01:00,-1282.42575
2024-02-01T13:00+01:00,-1395.5725
2024-02-01T13:15+01:00,-1340.738
2024-02-01T13:30+01:00,-1325.167
2024-02-01T13:45+01:00,-1318.63975
2024-02-01T14:00+01:00,-1425.94825
2024-02-01T14:15+01:00,-1399.154
2024-02-01T14:30+01:00,-1391.448
2024-02-01T14:45+01:00,-1434.39775
2024-02-01T15:00+01:00,-1323.725
2024-02-01T15:15+01:00,-1252.74525
2024-02-01T15:30+01:00,-1217.4125
2024-02-01T15:45+01:00,-1213.2695
2024-02-01T16:00+01:00,-1275.4615
2024-02-01T16:15+01:00,-1249.922
2024-02-01T16:30+01:00,-1117.62075
2024-02-01T16:45+01:00,-1102.85775
2024-02-01T17:00+01:00,-839.63525
2024-02-01T17:15+01:00,-790.588
2024-02-01T17:30+01:00,-788.3215
2024-02-01T17:45+01:00,-785.87275
2024-02-01T18:00+01:00,-677.5
2024-02-01T18:15+01:00,-462.5
2024-02-01T18:30+01:00,-250
2024-02-01T18:45+01:00,-200
2024-02-01T19:00+01:00,-110
2024-02-01T19:15+01:00,-110
2024-02-01T19:30+01:00,-110
2024-02-01T19:45+01:00,-110
2024-02-01T20:00+01:00,-110
2024-02-01T20:15+01:00,-110
2024-02-01T20:30+01:00,-160
2024-02-01T20:45+01:00,-210
2024-02-01T21:00+01:00,-255
2024-02-01T21:15+01:00,-255
2024-02-01T21:30+01:00,-255
2024-02-01T21:45+01:00,-198.75
2024-02-01T22:00+01:00,-198.75
2024-02-01T22:15+01:00,-198.75
2024-02-01T22:30+01:00,-98.75
2024-02-01T22:45+01:00,-80
2024-02-01T23:00+01:00,-80
