date,hour,farm_power_MW,price_EUR_MWh,store_decision
2024-01-01,0,156.18040215110778,0.01,1
2024-01-01,1,142.21377115345,0.0,1
2024-01-01,2,138.10194916820527,-0.01,1
2024-01-01,3,146.28928946113587,-0.03,1
2024-01-01,4,154.01697188472747,-0.02,1
2024-01-01,5,157.3634966955185,-0.05,1
2024-01-01,6,149.6950886592865,-0.02,1
2024-01-01,7,149.346936627388,0.0,1
2024-01-01,8,155.7779007539749,0.04,1
2024-01-01,9,140.94219887351989,0.06,1
2024-01-01,10,143.5999630365372,0.54,1
2024-01-01,11,153.65608172035218,2.24,1
2024-01-01,12,149.4400901184082,1.96,1
2024-01-01,13,156.38022570705414,1.04,1
2024-01-01,14,156.52227947330476,3.66,1
2024-01-01,15,150.8127418384552,43.06,0
2024-01-01,16,146.00199739551545,49.93,0
2024-01-01,17,146.1809917459488,58.0,0
2024-01-01,18,149.3958133134842,54.25,0
2024-01-01,19,154.54501465415956,48.01,0
2024-01-01,20,155.84579028224945,42.95,0
2024-01-01,21,155.81083118534087,47.09,0
2024-01-01,22,132.24127595043183,35.55,0
2024-01-01,23,121.40113080596925,30.59,0
2024-01-02,0,105.4298245124817,20.07,1
2024-01-02,1,89.07253091812133,31.03,0
2024-01-02,2,72.83040910720825,18.39,1
2024-01-02,3,90.38408386230469,11.08,1
2024-01-02,4,109.38416222763061,13.78,1
2024-01-02,5,133.2524241886139,47.63,0
2024-01-02,6,150.07267993068695,58.1,0
2024-01-02,7,159.07089671230318,65.67,0
2024-01-02,8,161.41365887260437,64.73,0
2024-01-02,9,164.07091064071656,68.98,0
2024-01-02,10,166.32395140743256,73.54,0
2024-01-02,11,163.71010923957823,78.16,0
2024-01-02,12,166.51644457912445,78.87,0
2024-01-02,13,164.70466993904114,79.24,0
2024-01-02,14,162.69638078784942,79.96,0
2024-01-02,15,159.0779150876999,83.46,0
2024-01-02,16,159.89791740989685,80.92,0
2024-01-02,17,162.15993980026246,74.95,0
2024-01-02,18,166.80679010009766,63.18,0
2024-01-02,19,167.98659622192383,57.11,0
2024-01-02,20,168.2418724822998,46.89,0
2024-01-02,21,168.29999999999998,40.0,0
2024-01-02,22,168.29999999999998,7.43,1
2024-01-02,23,168.29584850692748,-0.08,1
2024-01-03,0,167.57877053833008,-1.23,1
2024-01-03,1,136.23357179260253,-1.3,1
2024-01-03,2,131.45008680725098,-1.31,1
2024-01-03,3,143.89690305805206,-1.31,1
2024-01-03,4,138.0276198062897,-1.38,1
2024-01-03,5,87.58486490249634,1.09,1
2024-01-03,6,99.46760109329223,40.59,0
2024-01-03,7,144.28742117500306,59.61,0
2024-01-03,8,165.82929820632936,60.61,0
2024-01-03,9,167.2121457824707,57.0,0
2024-01-03,10,168.29999999999998,54.89,0
2024-01-03,11,168.29999999999998,53.89,0
2024-01-03,12,168.2753273220062,54.42,0
2024-01-03,13,168.2006287536621,60.86,0
2024-01-03,14,164.78366459941864,67.18,0
2024-01-03,15,149.53576764678957,73.59,0
2024-01-03,16,126.28111898803712,82.28,0
2024-01-03,17,99.0137089920044,82.97,0
2024-01-03,18,85.87341144561768,79.03,0
2024-01-03,19,76.57380626678467,73.23,0
2024-01-03,20,60.20531634521485,67.41,0
2024-01-03,21,42.06439233112335,65.0,0
2024-01-03,22,30.137064311027526,58.12,0
2024-01-03,23,28.70063136577606,57.3,0
2024-01-04,0,39.718411931991575,50.46,0
2024-01-04,1,97.60991037368774,40.0,0
2024-01-04,2,135.85727792358398,25.48,0
2024-01-04,3,147.40404117679594,35.0,0
2024-01-04,4,155.37653163528444,57.73,0
2024-01-04,5,157.27930464363098,72.65,0
2024-01-04,6,144.16140802001954,85.02,0
2024-01-04,7,122.35644638442994,91.47,0
2024-01-04,8,87.74007459640502,94.2,0
2024-01-04,9,53.63744691467285,91.61,0
2024-01-04,10,36.61761897468567,90.03,0
2024-01-04,11,20.905886103630067,86.3,0
2024-01-04,12,15.623743941307067,85.96,0
2024-01-04,13,14.356011680603027,92.11,0
2024-01-04,14,12.212263069152831,98.62,0
2024-01-04,15,9.546227096557617,105.73,0
2024-01-04,16,9.530697956085206,133.23,0
2024-01-04,17,13.681721775054934,144.65,0
2024-01-04,18,17.74838321399689,125.0,0
2024-01-04,19,20.185079981803895,103.59,0
2024-01-04,20,27.823557784080506,100.01,0
2024-01-04,21,39.419754816055296,94.86,0
2024-01-04,22,42.941992461204535,88.83,0
2024-01-04,23,53.54950039672851,86.08,0
2024-01-05,0,69.52599980163575,80.51,0
2024-01-05,1,83.94804393768311,77.01,0
2024-01-05,2,100.71443284606933,73.21,0
2024-01-05,3,123.15168172073363,74.05,0
2024-01-05,4,141.40235211467743,76.03,0
2024-01-05,5,156.47790831184386,81.0,0
2024-01-05,6,157.53297149276733,87.0,0
2024-01-05,7,164.8975045452118,89.57,0
2024-01-05,8,167.6408349609375,94.93,0
2024-01-05,9,167.79602014160156,96.28,0
2024-01-05,10,167.4230390625,98.22,0
2024-01-05,11,168.24246410751343,92.24,0
2024-01-05,12,168.24053057670594,91.54,0
2024-01-05,13,167.29544256591797,96.41,0
2024-01-05,14,167.79179141235352,100.05,0
2024-01-05,15,167.46463842773437,102.97,0
2024-01-05,16,167.48614471435548,107.38,0
2024-01-05,17,167.55773739624024,108.45,0
2024-01-05,18,167.89757968139648,103.96,0
2024-01-05,19,168.20173097419737,100.09,0
2024-01-05,20,167.97308514404298,94.19,0
2024-01-05,21,167.27470669555663,94.92,0
2024-01-05,22,163.83915250396728,86.8,0
2024-01-05,23,161.4837762365341,82.25,0
2024-01-06,0,160.8628681526184,80.2,0
2024-01-06,1,159.80019127464294,76.13,0
2024-01-06,2,157.00300827598574,73.01,0
2024-01-06,3,154.29015764808656,73.01,0
2024-01-06,4,156.03915041542052,74.59,0
2024-01-06,5,154.80102752780914,75.1,0
2024-01-06,6,156.8025577840805,81.39,0
2024-01-06,7,156.06026269054414,88.4,0
2024-01-06,8,155.45189891910553,92.23,0
2024-01-06,9,145.44194417095184,97.3,0
2024-01-06,10,118.0092547416687,100.43,0
2024-01-06,11,105.73417803955078,99.16,0
2024-01-06,12,117.91144339370729,95.22,0
2024-01-06,13,126.44568457031251,92.55,0
2024-01-06,14,139.21441273784637,95.09,0
2024-01-06,15,153.16441339588164,99.85,0
2024-01-06,16,150.78309029674529,104.27,0
2024-01-06,17,143.91716612434388,103.63,0
2024-01-06,18,136.10887962913512,99.0,0
2024-01-06,19,127.89599609756469,92.14,0
2024-01-06,20,120.30209874343872,88.0,0
2024-01-06,21,116.49908712387084,86.57,0
2024-01-06,22,128.3694005470276,79.87,0
2024-01-06,23,116.12525722503663,84.08,0
2024-01-07,0,114.43883120727538,79.82,0
2024-01-07,1,111.08905547332763,76.76,0
2024-01-07,2,106.7844281616211,73.46,0
2024-01-07,3,89.92999254226685,71.86,0
2024-01-07,4,71.12851873397827,72.08,0
2024-01-07,5,65.2362769317627,74.9,0
2024-01-07,6,60.372644920349124,77.69,0
2024-01-07,7,53.31217794799805,81.79,0
2024-01-07,8,47.68612838745117,84.86,0
2024-01-07,9,42.180232586860654,87.15,0
2024-01-07,10,31.731916726112363,89.14,0
2024-01-07,11,31.177396928787232,88.66,0
2024-01-07,12,27.888513018608094,84.81,0
2024-01-07,13,33.177586933135984,84.34,0
2024-01-07,14,40.67416291236878,88.01,0
2024-01-07,15,49.18909533691406,93.42,0
2024-01-07,16,56.84518162536621,101.77,0
2024-01-07,17,67.64190870666505,104.85,0
2024-01-07,18,75.29672555923462,103.55,0
2024-01-07,19,76.41050039291382,100.5,0
2024-01-07,20,72.28373359680175,93.31,0
2024-01-07,21,77.44475212097167,91.17,0
2024-01-07,22,84.77300800323486,83.86,0
2024-01-07,23,86.76486574172974,87.02,0
2024-01-08,0,98.94558259963989,84.32,0
2024-01-08,1,111.04500634002686,81.82,0
2024-01-08,2,103.3278703994751,79.11,0
2024-01-08,3,100.08923830032349,78.48,0
2024-01-08,4,99.41211439132691,82.1,0
2024-01-08,5,109.1642568283081,94.3,0
2024-01-08,6,112.40282706069945,111.1,0
2024-01-08,7,122.80559906387329,121.11,0
2024-01-08,8,129.27695498657226,117.83,0
2024-01-08,9,123.37121591949463,110.6,0
2024-01-08,10,84.1197280883789,103.0,0
2024-01-08,11,79.72322027206421,95.5,0
2024-01-08,12,82.4918599319458,92.6,0
2024-01-08,13,85.5628510093689,100.0,0
2024-01-08,14,73.7769287109375,107.98,0
2024-01-08,15,76.16786888122559,116.87,0
2024-01-08,16,85.6241506576538,129.13,0
2024-01-08,17,89.87681728363037,130.01,0
2024-01-08,18,85.87033658981323,122.12,0
2024-01-08,19,73.62028032302857,114.21,0
2024-01-08,20,61.91467664337158,102.83,0
2024-01-08,21,51.48705638122558,99.98,0
2024-01-08,22,30.145612867355347,91.49,0
2024-01-08,23,33.33874400711059,88.16,0
2024-01-09,0,31.93623841381073,87.04,0
2024-01-09,1,28.456270065307617,85.0,0
2024-01-09,2,26.491993715286256,84.14,0
2024-01-09,3,19.059069683074952,85.72,0
2024-01-09,4,11.69197762298584,89.28,0
2024-01-09,5,6.8286874351501465,108.51,0
2024-01-09,6,4.773122497558593,124.06,0
2024-01-09,7,5.373541740417481,133.24,0
2024-01-09,8,4.462344944000244,120.91,0
2024-01-09,9,0.815376736164093,113.19,0
2024-01-09,10,0.03518582010269165,105.78,0
2024-01-09,11,0.0,100.22,0
2024-01-09,12,0.0,100.82,0
2024-01-09,13,0.0,110.89,0
2024-01-09,14,0.0,119.4,0
2024-01-09,15,0.0,127.85,0
2024-01-09,16,0.0,137.84,0
2024-01-09,17,0.0,137.8,0
2024-01-09,18,0.0,130.43,0
2024-01-09,19,0.0,120.24,0
2024-01-09,20,0.0,111.68,0
2024-01-09,21,0.0,106.18,0
2024-01-09,22,0.0,97.09,0
2024-01-09,23,0.0,89.29,0
2024-01-10,0,0.0,86.76,0
2024-01-10,1,0.0,86.73,0
2024-01-10,2,0.11629968452453612,86.09,0
2024-01-10,3,0.31101222896575925,86.3,0
2024-01-10,4,0.8264506673812866,89.05,0
2024-01-10,5,2.3008746185302735,108.88,0
2024-01-10,6,2.8630041732788087,126.29,0
2024-01-10,7,0.9795981845855714,141.28,0
2024-01-10,8,0.412053391456604,130.39,0
2024-01-10,9,0.0,118.56,0
2024-01-10,10,0.0,109.13,0
2024-01-10,11,0.0,102.21,0
2024-01-10,12,0.05460672998428345,105.61,0
2024-01-10,13,0.8444481797218323,112.91,0
2024-01-10,14,1.2024892387390136,123.8,0
2024-01-10,15,1.7156958045959472,134.64,0
2024-01-10,16,0.9436427507400513,143.79,0
2024-01-10,17,0.08048790121078492,140.0,0
2024-01-10,18,0.0,132.15,0
2024-01-10,19,0.0,120.0,0
2024-01-10,20,0.0,109.76,0
2024-01-10,21,0.0,104.49,0
2024-01-10,22,0.7631984224319458,96.03,0
2024-01-10,23,0.47816687679290776,91.75,0
2024-01-11,0,3.956737483978271,88.59,0
2024-01-11,1,10.961981369018556,87.25,0
2024-01-11,2,18.538637449264527,82.38,0
2024-01-11,3,25.35585468006134,81.95,0
2024-01-11,4,26.65347593021393,89.36,0
2024-01-11,5,35.30346568107605,102.07,0
2024-01-11,6,43.362128608703614,116.86,0
2024-01-11,7,46.15645625209808,141.0,0
2024-01-11,8,32.11601636123657,129.16,0
