Date (GMT+2),DE (TenneT) Load decrease (current-induced),DE (TenneT) Load decrease (voltage-induced)
,Energy (MWh),Energy (MWh)
2024-10-01T00:00+02:00,-606,
2024-10-01T00:15+02:00,-527.25,
2024-10-01T00:30+02:00,-527.25,
2024-10-01T00:45+02:00,-486.25,
2024-10-01T01:00+02:00,-348.25,
2024-10-01T01:15+02:00,-288,
2024-10-01T01:30+02:00,-308,
2024-10-01T01:45+02:00,-320.5,
2024-10-01T02:00+02:00,-339.25,
2024-10-01T02:15+02:00,-329.25,
2024-10-01T02:30+02:00,-309.25,
2024-10-01T02:45+02:00,-309.25,
2024-10-01T03:00+02:00,-271.5,
2024-10-01T03:15+02:00,-271.5,
2024-10-01T03:30+02:00,-271.5,
2024-10-01T03:45+02:00,-199,
2024-10-01T04:00+02:00,-123.5,
2024-10-01T04:15+02:00,-123.5,
2024-10-01T04:30+02:00,-123.5,
2024-10-01T04:45+02:00,-123.5,
2024-10-01T05:00+02:00,-51,
2024-10-01T05:15+02:00,-51,
2024-10-01T05:30+02:00,-51,
2024-10-01T05:45+02:00,-51,
2024-10-01T06:00+02:00,-20.75,
2024-10-01T06:15+02:00,-20.75,
2024-10-01T06:30+02:00,-20.75,
2024-10-01T06:45+02:00,-95.75,
2024-10-01T07:00+02:00,-95,
2024-10-01T07:15+02:00,-95,
2024-10-01T07:30+02:00,-95,
2024-10-01T07:45+02:00,-95,
2024-10-01T08:00+02:00,-240.75,
2024-10-01T08:15+02:00,-240.75,
2024-10-01T08:30+02:00,-240.75,
2024-10-01T08:45+02:00,-240.75,
2024-10-01T09:00+02:00,-236.75,
2024-10-01T09:15+02:00,-236.75,
2024-10-01T09:30+02:00,-236.75,
2024-10-01T09:45+02:00,-236.75,
2024-10-01T10:00+02:00,-236.75,
2024-10-01T10:15+02:00,-236.75,
2024-10-01T10:30+02:00,-236.75,
2024-10-01T10:45+02:00,-236.75,
2024-10-01T11:00+02:00,-170,
2024-10-01T11:15+02:00,-195,
2024-10-01T11:30+02:00,-220,
2024-10-01T11:45+02:00,-220,
2024-10-01T12:00+02:00,-220,
2024-10-01T12:15+02:00,-220,
2024-10-01T12:30+02:00,-220,
2024-10-01T12:45+02:00,-220,
